"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"156",2,1,1,"Oakland",0,7,"t",45,3,1125,29,4.76,"f",0
"157",2,1,1,"Oakland",0,1,"t",65,1,10,31,4.65,"f",0
"158",8,4,4,"Oakland",0,1,"t",386,2,5,5,5,"f",1
"159",2,1,1,"Oakland",0,7,"t",65,3,90,15,4.47,"f",0
"160",10,3,7,"Oakland",0,2,"t",248,2,1125,41,4.95,"f",1
"161",2,1,1,"Oakland",0,2,"t",125,1,1125,4,5,"f",0
"162",2,1,1,"Oakland",0,1,"t",50,7,1125,57,4.74,"t",0
"163",4,1,2,"Oakland",0,1,"t",93,2,15,447,4.73,"f",1
"164",1,1,1,"Oakland",0,2,"t",49,2,14,6,4.83,"f",0
"165",3,1,2,"Oakland",0,2,"t",106,1,360,223,4.89,"f",1
"166",4,1,3,"Oakland",0,1,"t",94,3,1125,13,4.83,"f",1
"167",2,1,2,"Oakland",0,1,"t",75,1,365,258,4.54,"f",0
"168",5,2,2,"Oakland",0,1,"t",140,5,11,8,4.29,"f",1
"169",6,3,4,"Oakland",0,1,"t",180,3,14,13,4.85,"f",1
"170",5,2,2,"Oakland",0,1,"t",189,3,1125,58,4.93,"f",1
"171",1,1,1,"Oakland",0,1,"t",79,2,1125,11,4.91,"f",1
"172",4,2,2,"Oakland",0,1,"t",100,30,1125,6,4.5,"f",1
"173",3,1,2,"Oakland",0,2,"t",55,3,10,39,4.79,"f",0
"174",6,2,4,"Oakland",0,27,"t",389,30,1125,22,4.64,"f",1
"175",16,4,7,"Oakland",0,27,"t",650,30,1125,45,4.8,"f",1
"176",2,1,1,"Oakland",0,1,"t",85,2,14,6,4.83,"f",0
"177",5,1,3,"Oakland",0,7,"t",175,2,1125,288,4.8,"f",0
"178",2,1,1,"Oakland",0,3,"t",83,5,30,101,4.91,"t",0
"179",6,3,3,"Oakland",0,4,"t",150,2,28,518,4.86,"f",0
"180",2,1,1,"Oakland",0,1,"t",80,30,1125,38,4.61,"f",0
"181",2,1,1,"Oakland",0,1,"t",115,3,28,5,4.67,"f",1
"182",1,1,1,"Oakland",0,2,"t",65,15,1125,40,4.87,"f",0
